      Age   Thickness   Depth
         679        2.52    1531.42
         680        2.28    1533.70
         681        1.44    1535.14
         682        1.80    1536.94
         683        2.00    1538.94
         684        2.24    1541.18
         685        1.44    1542.62
         686        1.36    1543.98
         687        1.20    1545.18
         688        1.48    1546.66
         689        1.84    1548.50
         690        1.60    1550.10
         691        2.24    1552.34
         692        1.20    1553.54
         693        2.00    1555.54
         694        2.24    1557.78
         695        2.24    1560.02
         696        1.80    1561.82
         697        1.80    1563.62
         698        1.20    1564.82
         699        0.88    1565.70
         700        2.36    1568.06
         701        2.24    1570.30
         702        1.60    1571.90
         703        1.68    1573.58
         704        1.52    1575.10
         705        1.60    1576.70
         706        2.44    1579.14
         707        1.36    1580.50
         708        2.24    1582.74
         709       13.80    1596.54
         710        0.92    1597.46
         711        0.68    1598.14
         712        1.04    1599.18
         713        1.48    1600.66
         714        1.68    1602.34
         715        0.88    1603.22
         716        1.88    1605.10
         717        1.08    1606.18
         718        1.84    1608.02
         719        1.72    1609.74
         720        1.40    1611.14
         721        1.44    1612.58
         722        1.44    1614.02
         723        1.40    1615.42
         724        1.88    1617.30
         725        1.84    1619.14
         726        1.24    1620.38
         727        1.28    1621.66
         728        1.08    1622.74
         729        2.12    1624.86
         730        2.00    1626.86
         731        1.24    1628.10
         732        1.00    1629.10
         733        1.20    1630.30
         734        0.84    1631.14
         735        1.24    1632.38
         736        1.12    1633.50
         737        0.72    1634.22
         738        0.68    1634.90
         739        1.00    1635.90
         740        1.60    1637.50
         741        0.80    1638.30
         742        3.80    1642.10
         743        1.60    1643.70
         744        1.40    1645.10
         745        1.96    1647.06
         746        2.64    1649.70
         747        1.20    1650.90
         748        0.56    1651.46
         749        1.60    1653.06
         750        1.00    1654.06
         751        0.80    1654.86
         752        1.48    1656.34
         753        1.28    1657.62
         754        1.32    1658.94
         755        1.40    1660.34
         756        1.36    1661.70
         757        2.00    1663.70
         758        2.00    1665.70
         759        1.36    1667.06
         760        2.80    1669.86
         761        2.20    1672.06
         762        4.40    1676.46
         763        1.20    1677.66
         764        1.72    1679.38
         765        0.64    1680.02
         766        1.20    1681.22
         767        1.36    1682.58
         768        0.64    1683.22
         769        2.00    1685.22
         770        1.40    1686.62
         771        1.08    1687.70
         772        3.72    1691.42
         773        4.68    1696.10
         774        2.40    1698.50
         775        1.64    1700.14
         776        1.08    1701.22
         777        1.20    1702.42
         778        1.84    1704.26
         779        4.48    1708.74
         780        1.68    1710.42
         781        2.80    1713.22
         782        1.84    1715.06
         783        2.24    1717.30
         784        4.20    1721.50
         785        1.48    1722.98
         786        2.12    1725.10
         787        1.84    1726.94
         788        1.40    1728.34
         789        1.48    1729.82
         790        3.00    1732.82
         791        2.52    1735.34
         792        1.04    1736.38
         793        2.28    1738.66
         794        2.00    1740.66
         795        1.60    1742.26
         796        1.80    1744.06
         797        1.84    1745.90
         798        3.08    1748.98
         799        1.32    1750.30
         800        1.12    1751.42
         801        0.96    1752.38
         802        1.20    1753.58
         803        0.80    1754.38
         804        1.84    1756.22
         805        2.64    1758.86
         806        1.20    1760.06
         807        1.60    1761.66
         808        1.32    1762.98
         809        1.44    1764.42
         810        1.88    1766.30
         811        1.08    1767.38
         812        1.36    1768.74
         813        0.84    1769.58
         814        0.84    1770.42
         815        2.88    1773.30
         816        1.80    1775.10
         817        2.64    1777.74
         818        3.80    1781.54
         819        1.32    1782.86
         820        2.64    1785.50
         821        3.00    1788.50
         822        3.76    1792.26
         823        2.44    1794.70
         824        3.20    1797.90
         825        1.20    1799.10
         826        0.80    1799.90
         827        1.64    1801.54
         828        1.32    1802.86
         829        1.88    1804.74
         830        2.68    1807.42
         831        2.92    1810.34
         832        1.48    1811.82
         833        2.60    1814.42
         834        1.52    1815.94
         835        2.16    1818.10
         836        1.88    1819.98
         837        2.52    1822.50
         838        1.48    1823.98
         839        2.28    1826.26
